Date,Host,Service,metadata.error_message,App Subdomain,Message
"2024-12-10T13:30:20.029Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""deputye2e1733813320725csvff.au.deputy.com""","exception occurs while requesting metric data API"
"2024-12-10T13:30:20.029Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""deputye2e1733813320725csvff.au.deputy.com""","failed to call getMetricsRaw from svc-metrics"
"2024-12-10T13:30:20.029Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""deputye2e1733813320725csvff.au.deputy.com""","failed to call getMetricsCount from svc-metrics"
"2024-12-10T13:30:07.819Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""deputye2e1733813320725csvff.au.deputy.com""","{""app"":{""subdomain"":""deputye2e1733813320725csvff.au.deputy.com""},""server_name"":""deputye2e1733813320725csvff.au.deputy.com"",""referer"":""https://deputye2e1733813320725csvff.au.deputy.com/exec/hr/roster_edit"",""internal"":{""service_name"":""deputy-webapp""},""amzn_trace_id"":""-"",""request_path_extra"":""/metric/data/list"",""bytes_received"":2335,""response_bytes"":56,""pid"":32605,""remote_address"":""-"",""http_port"":443,""http_method"":""POST"",""response_time_us"":11621939,""http_status_category"":""err"",""request_user"":""-"",""keepalive_requests"":4,""request_path"":""/api/v1/supervise/metric/data/list"",""request_path_family"":""/api/v1/supervise"",""http_status"":""500"",""request_query_string"":"""",""response_time_ms"":11621,""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.31 Safari/537.36"",""timestamp"":""1733837407819"",""request_protocol"":""HTTP/1.1""}"
"2024-12-10T13:27:57.934Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed To get SSO Configuration , deputye2e1733828704677tsvue.na.deputy.com, Invalid HostName"
"2024-12-10T13:27:39.921Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed To get SSO Configuration , deputye2e1733813278443prodff.na.deputy.com, Invalid HostName"
"2024-12-10T13:27:20.911Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed To get SSO Configuration , deputye2e1733827054413prodff.au.deputy.com, Invalid HostName"
"2024-12-10T13:27:11.905Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed To get SSO Configuration , deputye2e1733813278443prodff.na.deputy.com, Invalid HostName"
"2024-12-10T13:26:57.892Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1733186369104prodff.au.deputy.com, Bad Request"
"2024-12-10T13:26:57.892Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1733107241428prodff.na.deputy.com, Bad Request"
"2024-12-10T13:26:56.892Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1732616646650tsvue.na.deputy.com, Bad Request"
"2024-12-10T13:26:56.892Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1732610311654prodff.au.deputy.com, Bad Request"
"2024-12-10T13:26:56.892Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed To get SSO Configuration , deputye2e1733809723084schvue3.au.deputy.com, Invalid HostName"
"2024-12-10T13:26:50.887Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""mysqli::connect(): (HY000/1049): Unknown database 'deputec_b241028032802_5867'""","""deputye2e1730198549382lsff.au.deputy.com""","Error caught"
"2024-12-10T13:26:50.887Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""mysqli::connect(): (HY000/1049): Unknown database 'deputec_b241014070702_8741'""","""deputye2e1729031900498schvue3.au.deputy.com""","Error caught"
"2024-12-10T13:26:42.880Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed To get SSO Configuration , deputye2e1733827054413prodff.au.deputy.com, Invalid HostName"
"2024-12-10T13:26:27.868Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1733186369104prodff.au.deputy.com, Bad Request"
"2024-12-10T13:26:27.868Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1733107241428prodff.na.deputy.com, Bad Request"
"2024-12-10T13:26:27.868Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1732616646650tsvue.na.deputy.com, Bad Request"
"2024-12-10T13:26:26.867Z","""i-01406c2e0fe237a9a""","""deputy-webapp""",,"""once.deputy.com""","Failed GetAccessTokens , deputye2e1732610311654prodff.au.deputy.com, Bad Request"
"2024-12-10T13:26:22.864Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""mysqli::connect(): (HY000/1049): Unknown database 'deputec_b241028032802_5867'""","""deputye2e1730198549382lsff.au.deputy.com""","Error caught"
"2024-12-10T13:26:22.864Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""mysqli::connect(): (HY000/1049): Unknown database 'deputec_b241014070702_8741'""","""deputye2e1729031900498schvue3.au.deputy.com""","Error caught"
"2024-12-10T13:26:21.863Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""MySqli Error: Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","Exception caught while trying to save DeputecEmployee"
"2024-12-10T13:26:21.863Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","QMySQLiDatabase - execute query failed"
"2024-12-10T13:26:21.863Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""MySqli Error: Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","Exception caught while trying to save DeputecEmployee"
"2024-12-10T13:26:21.863Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","QMySQLiDatabase - execute query failed"
"2024-12-10T13:26:20.862Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""MySqli Error: Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","Exception caught while trying to save DeputecEmployee"
"2024-12-10T13:26:20.862Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","QMySQLiDatabase - execute query failed"
"2024-12-10T13:26:20.862Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""MySqli Error: Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","Exception caught while trying to save DeputecEmployee"
"2024-12-10T13:26:20.862Z","""i-01406c2e0fe237a9a""","""deputy-webapp""","""Deadlock found when trying to get lock; try restarting transaction""","""deputye2e1733828759293tsvue.na.deputy.com""","QMySQLiDatabase - execute query failed"
